state;postal;city;street;container;note;lon;lat
Wien;1010;Wien;Stephansplatz 6;2;;16.3740951;48.2087007
Wien;1020;Wien;Laufbergergasse 12;1;;16.3965660830156;48.21298785
Wien;1020;Wien;Lassallestraße 5;1;;16.3964368;48.2216116
Wien;1030;Wien;Hagenmüllergasse 33;1;;16.4051983;48.1973747
Wien;1050;Wien;Siebenbrunnenfeldgasse 22 - 24;1;;16.35265412211735;48.18183465
Wien;1060;Wien;Barnabitengasse 14;1;(GRUFT!! Kein öffentlicher Einwurf);16.3534923;48.1989135
Wien;1070;Wien;Westbahnstraße 17;1;;16.344414;48.201715
Wien;1090;Wien;Rooseveltplatz;1;;16.3581038;48.2158915
Wien;1100;Wien;Buchengasse 111 - 113;1;;16.366336580165274;48.1753567
Wien;1100;Wien;Laaer Berg Straße 222;1;;16.39635418801653;48.1525771
Wien;1100;Wien;Absberggasse 27;1;;16.3904387;48.1718099
Wien;1100;Wien;Otto-Probst-Straße 1;1;;16.3537276;48.1560361
Wien;1100;Wien;Tesarekplatz 1;1;;16.3497344;48.155232
Wien;1100;Wien;Baron-Karl-Gasse 7;1;ident Otto Probst-Straße 5;16.3526552;48.1538041
Wien;1110;Wien;Werkstättenweg;1;;16.404055;48.172389
Wien;1110;Wien;Oriongasse 13;1;;16.435087236961202;48.16796085
Wien;1110;Wien;Schmidgunstgasse 73;1;;16.470505700050154;48.16074435
Wien;1110;Wien;Braunhubergasse 18;1;;16.4136365;48.1695814
Wien;1110;Wien;Dommesgasse 14;1;;16.414226;48.1713587
Wien;1110;Wien;Kaiser Ebersdorfer Straße 164 - 168;1;;16.4272303;48.167249
Wien;1110;Wien;Am Hofgartl 1;1;;16.464477;48.1551172
Wien;1110;Wien;Wopenkastraße 6;1;;16.462264787739237;48.151248800000005
Wien;1110;Wien;Meidlgasse 19;1;;16.4492992;48.1595195
Wien;1110;Wien;Dreherstraße 2;1;;16.473796750782554;48.157740700000005
Wien;1120;Wien;Liebenstraße 31;1;;16.3279246;48.1686245
Wien;1120;Wien;Ruckergasse 33;1;;16.3269063;48.1788659
Wien;1120;Wien;Schönbrunnerstraße 295;1;im Hof;16.3216161;48.1833165
Wien;1120;Wien;Tanbruckgasse 16-22;1;;16.3284297;48.1768785
Wien;1130;Wien;Frimbergergasse 10;1;;16.2937229;48.1886513
Wien;1130;Wien;Linienamtsgasse 7;1;;16.2779602;48.1635611
Wien;1130;Wien;Fasangartengasse 48;1;;16.290242653750425;48.17279795
Wien;1130;Wien;Kardinal-König-Platz 3;1;;16.28319594291346;48.1778526
Wien;1130;Wien;Hanschweg 1;1;bei Karmeliterkloster;16.256063748758848;48.1763663
Wien;1130;Wien;Auhofstraße 120;1;;16.2738752;48.19054
Wien;1130;Wien;Blebanngasse/Schrutkagasse;1;Mistplatz;16.2768665;48.1838004
Wien;1130;Wien;Gobergasse 89;1;;16.266902181840873;48.178135850000004
Wien;1130;Wien;St. Veithgasse 25;2;Haus Don Bosco;16.3794635;48.1979917
Wien;1130;Wien;Kardinal-Piffl-Gasse 2;1;;16.2615337;48.1633281
Wien;1130;Wien;Bossigasse 68-70;1;;16.2764349;48.1835794
Wien;1130;Wien;Thomas-Morus-Gasse 2;1;;16.2809109;48.1723118
Wien;1130;Wien;Hietzinger Kai 131;1;;16.2885939;48.1905501
Wien;1140;Wien;Ameisbachzeile 5;1;;16.2920992;48.201426
Wien;1140;Wien;Hauptstraße 9;2;;16.228686880102835;48.20744815
Wien;1140;Wien;Edenstraße 21;1;Haus St. Klemens;16.243914610369636;48.21513935
Wien;1140;Wien;Müller-Guttenbrunn-Straße 35;2;;16.2721867;48.199563
Wien;1140;Wien;Tinterstraße 27;1;;16.2753101;48.2019729
Wien;1140;Wien;Lorenz Weiss Gasse 11 - 13;1;;16.270023;48.2003514
Wien;1140;Wien;Flötzersteig 167;1;;16.2929183;48.2071609
Wien;1140;Wien;Linzerstraße 422;1;;16.256935308882824;48.202243100000004
Wien;1140;Wien;Anzbachgasse 89;1;;16.245387390072636;48.2075465
Wien;1140;Wien;Balsaminenweg;1;;;
Wien;1140;Wien;Sampogasse 5;1;;16.3099036;48.201597
Wien;1150;Wien;Camillo-Sitte-Gasse 3;1;;16.3268202;48.2030637
Wien;1150;Wien;Vogelweidplatz 7;2;;16.3312661;48.2025413
Wien;1160;Wien;Thalhaimergasse 17-29;1;;16.3197899;48.2081365
Wien;1160;Wien;Albrechtskreithgasse 19 - 21;1;;16.3166228;48.2204065
Wien;1160;Wien;Seitenberggasse 45-51;1;;16.3130338;48.2184339
Wien;1160;Wien;Sandleitengasse 53;2;;16.306106227360054;48.2236213
Wien;1160;Wien;Mörikeweg 22;1;;16.28942580685638;48.21372065
Wien;1170;Wien;Alszeile 7;1;;16.3150213;48.2256272
Wien;1170;Wien;Dornbacherstraße 55;2;;16.2983261;48.2286404
Wien;1180;Wien;Schafberggasse 2;1;;16.310007922916807;48.24075575
Wien;1190;Wien;Gallmeyergasse 4;1;;16.3577486;48.2454085
Wien;1190;Wien;Heiligenstädterstraße 101;2;;16.3617278;48.2470928
Wien;1190;Wien;Fröschelgasse 18;1;;16.320865301082964;48.25264585
Wien;1210;Wien;Schererstraße 22;1;;16.4445752;48.2756584
Wien;1210;Wien;Schwaigergasse 19;1;;16.3931183;48.2585025
Wien;1210;Wien;Steinheilgasse 3;2;;16.412251100774;48.26312835
Wien;1210;Wien;Koloniestraße 12;1;;16.39426084988075;48.26648
Wien;1210;Wien;Brünnerstraße 133;1;;16.407705;48.2763259
Wien;1210;Wien;Maximilian Reich Weg 1, Ecke Edi Finger Straße 2;1;;;
Wien;1210;Wien;Lorettoplatz 1;1;;16.386016;48.2696027
Wien;1210;Wien;Frömmlgasse 31;1;;16.3948993;48.2592566
Wien;1210;Wien;Blechschmidtgasse 2;1;;16.3785424;48.276091
Wien;1210;Wien;Iselgasse 1-3/11;1;;16.4566808;48.2815327
Wien;1210;Wien;Jedlersdorferstraße 282;1;Keynesgasse - Durchgang;16.4129254;48.2931758
Wien;1210;Wien;Mühlschüttelgasse 37;1;;16.4074595;48.2504528
Wien;1210;Wien;Satzingerweg 49;1;;16.42238025940021;48.2574816
Wien;1220;Wien;Schickgasse 6-8;1;;16.4548831;48.2229686
Wien;1220;Wien;Hagedornweg 6;1;;16.49299005876991;48.23297275
Wien;1220;Wien;Bergengasse 6;1;;16.4737068;48.2148763
Wien;1220;Wien;Claretinergasse 1-3;1;;16.4668768;48.2358398
Wien;1220;Wien;Donaufelder Str. 177a;1;;16.4320341;48.251166
Wien;1220;Wien;Hyazinthengasse 74;1;;16.4676931;48.2321325
Wien;1220;Wien;Gartenheimstraße/Fellnerstraße;1;;;
Wien;1220;Wien;Strasse der Menschenrechte 1;1;Vienna Int. School;16.43108072934644;48.2453044
Wien;1220;Wien;Klara-Blum-Gasse 4;1;;16.5258429359548;48.2105855
Wien;1220;Wien;Hammerfestweg/Sandefjordgasse;1;;;
