state;postal;city;street;container;note
Wien;1010;Wien;Stephansplatz 6;2;
Wien;1020;Wien;Laufbergergasse 12;1;
Wien;1020;Wien;Lassallestraße 5;1;
Wien;1030;Wien;Hagenmüllergasse 33;1;
Wien;1050;Wien;Siebenbrunnenfeldgasse 22 - 24;1;
Wien;1060;Wien;Barnabitengasse 14;1;(GRUFT!! Kein öffentlicher Einwurf )
Wien;1070;Wien;Westbahnstraße 17;1;
Wien;1090;Wien;Rooseveltplatz;1;
Wien;1100;Wien;Buchengasse 111 - 113;1;
Wien;1100;Wien;Laaer Berg Straße 222;1;
Wien;1100;Wien;Absberggasse 27;1;
Wien;1100;Wien;Otto-Probst-Straße 1;1;
Wien;1100;Wien;Tesarekplatz 1;1;
Wien;1100;Wien;Otto Probst-Straße 5 ident Baron Karl Gasse 7;1;
Wien;1110;Wien;Werkstättenweg 27 - 29;1;
Wien;1110;Wien;Oriongasse  13;1;
Wien;1110;Wien;Schmidgunstgasse 73;1;
Wien;1110;Wien;Braunhubergasse 18;1;
Wien;1110;Wien;Dommesgasse 14;1;
Wien;1110;Wien;Kaiser Ebersdorfer Straße 164 - 168;1;
Wien;1110;Wien;Am Hofgartl 1;1;
Wien;1110;Wien;Wopenkastraße 6;1;
Wien;1110;Wien;Meidlgasse 19;1;
Wien;1110;Wien;Dreherstraße 2;1;
Wien;1120;Wien;Liebenstraße 31;1;
Wien;1120;Wien;Ruckergasse 33;1;
Wien;1120;Wien;Schönbrunnerstraße 295;1;im Hof
Wien;1120;Wien;Tanbruckgasse 16-22;1;
Wien;1130;Wien;Frimbergergasse 10;1;
Wien;1130;Wien;Linienamtsgasse 7;1;
Wien;1130;Wien;Fasangartengasse 48;1;
Wien;1130;Wien;Kardinal-König-Platz 3;1;
Wien;1130;Wien;Hanschweg 1 bei Karmeliterkloster;1;
Wien;1130;Wien;Auhofstraße 120;1;
Wien;1130;Wien;Blebanngasse/Schrutkagasse Mistplatz;1;
Wien;1130;Wien;Gobergasse 89;1;
Wien;1130;Wien;St. Veithgasse 25;2;Haus Don Bosco
Wien;1130;Wien;Kardinal-Piffl-Gasse 2;1;
Wien;1130;Wien;Bossigasse 68-70;1;
Wien;1130;Wien;Thomas-Morus-Gasse 2;1;
Wien;1130;Wien;Hietzinger Kai 131;1;
Wien;1140;Wien;Ameisbachzeile 5;1;
Wien;1140;Wien;Hauptstraße 9;2;
Wien;1140;Wien;Edenstraße 21;1;Haus St. Klemens
Wien;1140;Wien;Müller-Guttenbrunn-Straße 35;2;
Wien;1140;Wien;Tinterstraße 27;1;
Wien;1140;Wien;Lorenz Weiss Gasse 11 - 13;1;
Wien;1140;Wien;Flötzersteig 167;1;
Wien;1140;Wien;Linzerstraße 422;1;
Wien;1140;Wien;Anzbachgasse 89;1;
Wien;1140;Wien;Balsaminenweg;1;
Wien;1140;Wien;Sampogasse 5;1;
Wien;1150;Wien;Camillo-Sitte-Gasse 3;1;
Wien;1150;Wien;Vogelweidplatz 7;2;
Wien;1160;Wien;Thalhaimergasse 17-29;1;
Wien;1160;Wien;Albrechtskreithgasse 19 - 21;1;
Wien;1160;Wien;Seitenberggasse 45-51;1;
Wien;1160;Wien;Sandleitengasse 53;2;
Wien;1160;Wien;Mörikeweg 22;1;
Wien;1170;Wien;Alszeile 7;1;
Wien;1170;Wien;Dornbacherstraße 55;2;
Wien;1180;Wien;Schafberggasse 2;1;
Wien;1190;Wien;Gallmeyergasse 4;1;
Wien;1190;Wien;Heiligenstädterstraße 101;2;
Wien;1190;Wien;Fröschelgasse 18;1;
Wien;1210;Wien;Schererstraße 22;1;
Wien;1210;Wien;Schwaigergasse 19;1;
Wien;1210;Wien;Steinheilgasse 3;2;
Wien;1210;Wien;Koloniestraße 12;1;
Wien;1210;Wien;Brünnerstraße 133;1;
Wien;1210;Wien;Maximilian Reich Weg 1, Ecke Edi Finger Straße 2;1;
Wien;1210;Wien;Lorettoplatz 1;1;
Wien;1210;Wien;Frömmlgasse 31;1;
Wien;1210;Wien;Blechschmidtgasse 2;1;
Wien;1210;Wien;Iselgasse 1-3/11;1;
Wien;1210;Wien;Jedlersdorferstraße 282;1;Keynesgasse - Durchgang
Wien;1210;Wien;Mühlschüttelgasse 37;1;
Wien;1210;Wien;Satzingerweg 49;1;
Wien;1220;Wien;Schickgasse 6-8;1;
Wien;1220;Wien;Hagedornweg 6;1;
Wien;1220;Wien;Bergengasse 6;1;
Wien;1220;Wien;Claretinergasse 1-3;1;
Wien;1220;Wien;Donaufelder Str. 177a;1;
Wien;1220;Wien;Hyazinthengasse 74;1;
Wien;1220;Wien;Gartenheimstraße/Fellnerstraße;1;
Wien;1220;Wien;Strasse der Menschenrechte 1;1;Vienna Int. School
Wien;1220;Wien;Klara-Blum-Gasse 4;1;
Wien;1220;Wien;Hammerfestweg/Sandefjordgasse;1;
Wien;1220;Wien;Kapellenweg 40;1;
Wien;1220;Wien;Langobardenstraße/Ecke Sandefjordgasse 2;1;
Wien;1220;Wien;Markomannenstraße 36-38;1;
Wien;1220;Wien;Meißauergasse 2a/1;1;
Wien;1220;Wien;Asperner Heldenplatz 9;2;
Wien;1220;Wien;Quadenstraße 53;1;
Wien;1220;Wien;Süßenbrunnerstraße 58/Hanfgasse;1;
Wien;1220;Wien;Ullreichgasse 12;1;
Wien;1220;Wien;Auernheimergasse 47;1;
Wien;1220;Wien;Erzherzog Karl Straße 129 b;1;
Wien;1220;Wien;Wagramer Straße 81/2/3;1;
Wien;1230;Wien;Anton-Krieger-Gasse 2-16;1;
Wien;1230;Wien;Anton-Krieger-Gasse 202;1;
Wien;1230;Wien;Erlaaerplatz 4;1;
Wien;1230;Wien;Johann-Dunkl-Gasse 9-13;1;
Wien;1230;Wien;Färbermühlgasse 6;1;
Wien;1230;Wien;Pfarre Rodaun, Schreckgasse 19;1;
Wien;1230;Wien;Franz Asenbauer Gasse 51;1;
Wien;1230;Wien;Ober den Gärten über Podhgasse;1;
Wien;1230;Wien;Endresstraße 59/Rudolf-Zellergasse;2;
Wien;1230;Wien;Reklewskigasse 2-10/Eduard-Kittenberg-Gasse;1;
Wien;1230;Wien;Trepetschniggasse 4;1;
Niederösterreich;2020;Hollabrunn;Reucklstraße 1;1;
Niederösterreich;2020;Hollabrunn;Kirchenplatz;5;
Niederösterreich;2051;Zellerndorf;Bahnstraße 244;1;
Niederösterreich;2070;Retz;Fladnitzerstraße 44-46;1;
Niederösterreich;2100;Leobendorf;Schmiedgasse 15 bei Feuerwehr;2;
Niederösterreich;2100;Leobendorf;Im Hausholz 8;1;
Niederösterreich;2100;Leobendorf;Pfarrweg 15;1;
Niederösterreich;2100;Leobendorf;Dr. Ansorge Straße 1;1;
Niederösterreich;2100;Leobendorf;Stockerauer Straße Ecke Kreuzsteinerweg;2;
Niederösterreich;2102;Bisamberg;Kaiserallee 23;1;
Niederösterreich;2103;Langenzersdorf;Krottendorferstraße 50;1;
